keys,en,zh,cmn,ja,ko,es,ru
HOSPITAL_12,Wishing you good health~,祝你身體健康哦~,祝你身体健康哦~,お体に気をつけてくださいね～,건강 조심하세요~,¡Que estés saludable~,Будьте здоровы~
RESTAURANT_0,What do you feel like eating?,想吃啥？,想吃啥？,何を食べたい？,뭐 먹고 싶어?,¿Qué quieres comer?,Что хочешь съесть?
RESTAURANT_1,"Nothing, thanks",不用了,不用了,いいえ,아니야,"No, gracias","Нет, спасибо"
RESTAURANT_2,Eat up and head out then.,吃完就走吧。,吃完就走吧,食べたら出よう。,먹고 가자.,Come y vámonos.,Поедим и уйдём.
RESTAURANT_3,Ha! I’m full!,哈！吃飽了！,哈！吃饱了！,は！お腹いっぱい！,하! 배부프다!,¡Ja! ¡Estoy lleno!,Ха! Наелся!
RESTAURANT_4,Ugh! What is this stuff? But at least I finished it.,噁！這是什麼東西啊？不過總算是吃完了。,噁！这什么东西啊？不过总算是吃完了,うっ！何これ？でもなんとか食べ終わった。,윽! 이게 뭐야? 그래도 다 먹었네.,¡Puaj! ¿Qué es esto? Pero al menos lo terminé.,Фу! Что это было? Но вроде доел.
RESTAURANT_5,Huh? Why do I feel…,欸？怎麼感覺...,欸？怎么感觉...,え？なんか変な感じ…,어? 뭔가 느낌이…,¿Eh? Me siento raro…,Э? Какое-то странное чувство…
RESTAURANT_6,"Wait, what just happened?",欸？剛剛發生什麼了？,欸？刚刚发生了什么？,え？今何が起きたの？,어? 방금 뭐였지?,¿Eh? ¿Qué pasó hace un momento?,Э? Что только что произошло?
RESTAURANT_7,Ah! My wallet’s gone!,啊！錢包不見了！,啊！钱包不见了,あ！財布がない！,아! 지갑이 없어졌어!,¡Ah! ¡Mi cartera desapareció!,Ах! Кошелёк пропал!
RESTAURANT_8,Release the rat.,放出老鼠。,放出老鼠,ネズミを放す。,쥐를 풀어.,Suelta la rata.,Выпустить крысу.
RESTAURANT_9,Time to dig in.,我要開動了。,我要开动了,いただきます。,잘 먹겠습니다.,Voy a comer.,Приступаю к еде.
RESTAURANT_10,Squeak squeak.,吱吱。,吱吱,チューチュー。,찍찍.,Chillido.,Пи-пи.
RESTAURANT_11,The rat’s dead.,老鼠死了。,老鼠死了,ネズミ死んだ。,쥐 죽었어.,La rata murió.,Крыса умерла.
RESTAURANT_12,The rat’s still alive.,老鼠還活著。,老鼠还活着,ネズミまだ生きてる。,쥐 아직 살아있어.,La rata sigue viva.,Крыса ещё жива.
RESTAURANT_13,Haha! Good thing I’m smart.,哈哈！幸虧我聰明。,哈哈！幸亏我聪明,はは！私が賢くてよかった。,하하! 내가 똑똑해서 다행이야.,¡Ja! Menos mal que soy listo.,"Ха-ха! Хорошо, что я умный."
RESTAURANT_14,I can eat it now!,可以吃了！,可以吃了！,食べられるよ！,먹을 수 있어!,¡Se puede comer!,Можно есть!
RESTAURANT_15,Want more?,還要吃嗎？,还要吃吗？,まだ食べる？,더 먹을까?,¿Quieres más?,Ещё поешь?
HOME_0,What should I do next?,做什麼好呢？,做什么好呢？,何しようか？,뭐 할까?,¿Qué hacemos?,Что делать?
HOME_1,Go out.,外出,外出,外出,외출,Salir,Выйти наружу
PAPER_0,Write the thesis.,寫論文,写论文,論文を書く,논문 쓰기,Escribir la tesis,Писать диссертацию
PAPER_1,Ha! Made some good progress today.,哈！今天進度還挺好。,哈！今天进度还挺不错,は！今日の進捗結構いいね。,하! 오늘 진도 꽤 괜찮네.,¡Ja! ¡Buen progreso hoy!,Ха! Сегодня хороший прогресс.
PAPER_2,Ugh! I’ve been writing for so long and still haven’t gotten anywhere.,哎！怎麼寫了這麼久都沒寫出什麼呢？,哎！怎么写了这么久都没写出什么呢？,あ！こんなに書いても全然進まないじゃん。,아! 이렇게 오래 썼는데 별로 안 됐네.,¡Ay! ¡Llevo tanto escribiendo y no sale nada!,"Ай! Так долго писал, а толку мало."
PAPER_3,Is it a lack of inspiration? Energy? Or something else?,是沒靈感？沒精神？還是什麼原因呢？,是没灵感？没精神？还是什么原因呢？,インスピレーションがない？疲れてる？それとも何か別の理由？,영감이 없나? 피곤한가? 아니면 다른 이유?,¿Sin inspiración? ¿Cansado? ¿O será otra cosa?,Нет вдохновения? Устал? Или что-то ещё?
SLEEP_0,Sleep.,睡覺,睡觉,寝る,자기,Dormir,Спать
SLEEP_1,Use sleeping pills.,使用安眠藥。,使用安眠药,睡眠薬を使う。,수면제 먹기.,Tomar pastillas para dormir.,Принять снотворное.
SLEEP_2,Sleep straight away.,直接睡。,直接睡,そのまま寝る。,그냥 자기.,Dormir directamente.,Спать сразу.
SLEEP_3,Ha! I feel refreshed!,哈！精神了！,哈！精神了！,は！元気になった！,하! 기운 났다!,¡Ja! ¡Estoy lleno de energía!,Ха! Полон сил!
SLEEP_4,Ugh! Why can’t I sleep?,哎！怎麼睡不著呢？,哎！怎么睡不着呢？,あ！眠れないじゃん。,아! 잠이 안 와.,¡Ay! ¡No puedo dormir!,Ай! Не могу уснуть!
SUPERMARKET_0,Need to buy anything?,需要買什麼呢？,需要买什么呢？,何か買う必要ある？,뭐 살 거 있어?,¿Necesitas comprar algo?,Что-то нужно купить?
SUPERMARKET_1,No thanks!,不用了謝謝！,不用了谢谢！,いいえ、ありがとう！,"아니요, 괜찮아요!","No, gracias.","Нет, спасибо!"
SUPERMARKET_2,Thank you for your patronage!,謝謝惠顧！,谢谢惠顾！,ご利用ありがとうございます！,이용해 주셔서 감사합니다!,¡Gracias por tu compra!,Спасибо за покупку!
SUPERMARKET_3,Come again!,記得再次光臨哦！,记得再次光临哦！,またお越しくださいね！,또 오세요!,¡Vuelve pronto!,Заходите ещё!
SUPERMARKET_4,Anything else you need?,還需要什麼嗎？,还需要什么吗？,他に何か必要ですか？,다른 도움 필요하세요?,¿Algo más que necesites?,Ещё что-то нужно?
LUCKY_DRAW_0,Hit or miss?,中不中呢？,中不中呢？,どうかな？,될까?,¿Funcionará?,Получится ли?
LUCKY_DRAW_1,Three,三,三,三,삼,Tres,Три
LUCKY_DRAW_2,Two,二,二,二,이,Dos,Два
LUCKY_DRAW_3,One,一,一,一,일,Uno,Один
LUCKY_DRAW_4,Oops!,哎呀！,哎呀！,あちゃ！,아야!,¡Ay!,Ай-яй!
LUCKY_DRAW_5,Not bad!,還不錯！,还不错！,まあまあだね！,괜찮네!,¡No está mal!,Неплохо!
LUCKY_DRAW_6,Awesome!,太好了！,太好了！,やった！,좋아!,¡Genial!,Отлично!
LECTURE_0,What class should I take today?,今天上什麼課好呢？,今天上什么课好呢？,今日は何の授業にしようか？,오늘 무슨 수업 들을까?,¿Qué clase tomo hoy?,Какой урок выбрать на сегодня?
LECTURE_1,Skip it.,不上了。,不上了,やめとく。,안 들을래.,No voy.,Не пойду.
LECTURE_2,"The professor was great today, learned a lot of useful stuff.",今天教授講得不錯，學到不少有用的知識。,今天教授讲得不错，学到不少有用的知识,今日の教授の講義よかった、役に立つ知識たくさん学んだ。,"오늘 교수 강의 좋았어, 유용한 지식 많이 배웠어.","La clase del profesor estuvo buena hoy, aprendí cosas útiles.","Сегодня лекция профессора была хорошей, узнал много полезного."
LECTURE_3,"Today’s class was so boring, such a waste of time.",今天的課太無聊了，浪費了不少時間。,今天的课太无聊了，浪费了不少时间,今日の授業つまらなかった、時間無駄にした。,"오늘 수업 너무 지루했어, 시간 낭비했네.","La clase de hoy fue aburrida, perdí el tiempo.","Сегодняшний урок был скучным, зря потратил время."
BAD_END_0,Can this kid still be saved?,這孩子還能救嗎？,这孩子还能救吗？,この子まだ救える？,이 애 아직 살릴 수 있어?,¿Este chico aún tiene salvación?,Можно ли ещё спасти этого парня?
BAD_END_1,No hope left.,已經沒救了。,已经没救了,もうダメだね。,이미 안 되겠네.,Ya no hay esperanza.,Уже не спасти.
BAD_END_2,Another one eliminated?,又淘汰一個了嗎？,又淘汰一个了吗？,また一人淘汰されたか。,또 한 명 탈락했나?,¿Otro eliminado?,Ещё один выбыл?
BAD_END_3,"You’ll get used to it soon. Pass me a bottle, I’ll store the liver.",很快你就會習慣的了。給個瓶子我把肝放好。,很快你就会习惯的了。给个瓶子我把肝放好好吧,すぐ慣れるよ。ボトルちょうだい、肝入れるから。,"곧 익숙해질 거야. 병 줘, 간 넣을게.","Te acostumbrarás pronto. Dame una botella, voy a guardar el hígado.","Скоро привыкнешь. Дай бутылку, положу печень."
BAD_END_4,Here you go!,是！給~,是！给~,はい！どうぞ～,네! 여기요~,¡Sí! Aquí tienes~,Да! Вот~
GOOD_END_0,Finally graduated! I’m heading back to Hong Kong right away.,終於畢業了，我馬上回到香港。,终于毕业了，我马上回到香港,やっと卒業できた、すぐ香港に帰るよ。,"드디어 졸업했어, 바로 홍콩으로 돌아갈게.","Por fin me gradué, vuelvo a Hong Kong ahora mismo.","Наконец-то выпустился, сразу возвращаюсь в Гонконг."
GOOD_END_1,Ellie (tearing up)!,艾莉（感動）！,艾莉（感动）！,エリー（感動）！,엘리 (감동)!,¡Ellie (emocionada)!,Элли (тронута)!
GOOD_END_2,Who are you?,你是？,你是？,あなた誰？,누구세요?,¿Quién eres?,Кто ты?
GOOD_END_3,You don’t recognize me?,你認不出我了嗎？,你认不出我了吗？,私わかんないの？,나 못 알아보겠어?,¿No me reconoces?,Ты меня не узнаёшь?
GOOD_END_4,Serena? Is that you?,你是塞雷娜？,你是塞雷娜？,セレナなの？,세레나야?,¿Eres Serena?,Серена?
GOOD_END_5,Yep!,是啊！,是啊！,そう！,맞아!,¡Sí!,Да!
GOOD_END_6,"You know, a few months ago you just disappeared, and I was so worried!",你知道嗎？幾個月前突然就找不到你，我好擔心你啊！,你知道吗？几个月前突然就找不到你，我好担心你啊！,ねえ知ってる？数ヶ月前突然あなたと連絡取れなくなって、すっごく心配したんだから！,"있지, 몇 달 전 갑자기 너랑 연락 안 돼서 진짜 걱정했어!","¿Sabes? Hace unos meses de repente no supe nada de ti, ¡estaba tan preocupada!","Знаешь, пару месяцев назад ты вдруг пропала, я так волновалась!"
GOOD_END_7,"Ugh, no choice! Natural Selection University doesn’t let us contact the outside world!",害！沒辦法啊！自然選擇大學不允許我們與外界交流啊！,害！没办法啊！自然选择大学不允许我们与外界交流啊！,うわ！仕方ないよ！自然選択大学じゃ外部と連絡取れないんだもん！,아! 어쩔 수 없었어! 자연 선택 대학교에선 외부랑 연락 못 하거든!,¡Ay! ¡No tuve opción! ¡En la Universidad de Selección Natural no nos dejan contactar al exterior!,Ай! Ничего не могла поделать! Университет естественного отбора запрещает общаться с внешним миром!
GOOD_END_8,They have a rule like that?!,竟然有這樣的規矩？！,竟然有这样的规矩？！,そんなルールあるの？！,그런 규칙이 있어?!,¿Hay una regla así?,Есть такое правило?!
GOOD_END_9,Yeah! Natural Selection University is insane! It’s a long story—let’s eat at a restaurant and catch up!,害！自然選擇大學太可怕了！說來話長，我們去餐廳邊吃邊聊吧！,害！自然选择大学太可怕了！说来话长，我们去餐厅边吃边聊吧！,うわ！自然選択大学怖すぎる！話せば長いから、レストランで食べながら話そうよ！,아! 자연 선택 대학교 너무 무서워! 얘기 길어질 테니 레스토랑 가서 밥 먹으면서 하자!,"¡Ay! ¡La Universidad de Selección Natural es aterradora! Es una larga historia, ¡vamos a un restaurante a comer y charlar!","Ай! Университет естественного отбора — это кошмар! Долгая история, пойдём в ресторан, поедим и поговорим!"
GOOD_END_10,Sure! Let’s go to that one!,好啊！就去那家吧！,好啊！就去那家吧！,いいね！あそこ行こう！,좋아! 저기 가자!,¡Claro! ¡Vamos a ese!,Хорошо! Пойдём туда!
GOOD_END_11,Wait! I didn’t bring a rat—did you?,等等！我沒帶老鼠，你有嗎？,等等！我没带老鼠，你有吗？,待って！ネズミ持ってきてないけど、あなた持ってる？,"잠깐! 쥐 안 챙겼는데, 너 있어?","¡Espera! No traje una rata, ¿tú tienes?","Погоди! Я не взяла крысу, у тебя есть?"
GOOD_END_12,A rat?,老鼠？,老鼠？,ネズミ？,쥐?,¿Rata?,Крыса?
GOOD_END_13,Yeah! It’s reassuring to have one!,嗯嗯！帶了安心點嘛！,嗯嗯！带了安心点嘛！,うんうん！持ってると安心するよね！,응응! 있으면 마음 편하잖아!,"¡Sí, sí! ¡Traer una me da tranquilidad!",Да-да! С ней спокойнее!
GOOD_END_14,Huh?!,哈？！,哈？！,は？！,뭐?!,¿Qué?!,Чтооо?!
GOOD_END_15,"Oh, never mind! Let’s check the supermarket and see if they’ve got any!",哎！沒事兒！我們去超市看看有沒有吧！,哎！没事儿！我们去超市看看有没有吧！,あ！大丈夫！スーパーで探してみようよ！,아! 괜찮아! 슈퍼마켓 가서 찾아보자!,¡Ay! ¡No pasa nada! ¡Vamos al supermercado a ver si hay!,"Ай! Ничего страшного! Пойдём в супермаркет, посмотрим, есть ли там!"
GOOD_END_16,Huh?!,哈？！,哈？！,は？！,뭐?!,¿Qué?!,Чтооо?!
NORMAL_END_0,Ugh! 100 days already!,害！100天了！,害！100天了！,うわ！100日経った！,아! 100일 됐네!,¡Ay! ¡Han pasado 100 días!,Ай! Прошло 100 дней!
NORMAL_END_1,I still haven’t finished my thesis.,我還沒有寫好論文啊。,我还没有写好论文啊,まだ論文完成してないよ。,아직 논문 못 썼어.,Todavía no terminé mi tesis.,Я ещё не закончила диссертацию.
NORMAL_END_2,"But that’s normal, I guess",不過也正常啦，,不过也正常啦,でもまあ普通だよね、,"근데 그럴 수도 있지,","Pero es normal,","Но это нормально,"
NORMAL_END_3,"only 1% graduate, after all.",畢竟只有1%的人能畢業嘛。,毕竟只有1%的人能毕业嘛,だって1%しか卒業できないんだもん。,어차피 1%만 졸업하니까.,"total, solo el 1% se gradúa.",всё-таки только 1% выпускается.
NORMAL_END_4,Surviving this long is already pretty impressive.,能生存至今已經很厲害啦。,能生存至今已经很厉害啦,ここまで生き残れただけでもすごいよ。,여기까지 살아남은 것도 대단해.,Haber sobrevivido hasta ahora ya es increíble.,"Уже круто, что я выжила до сих пор."
NORMAL_END_5,I miss Ellie so much.,好想念艾莉啊。,好想念艾莉啊,エリーに会いたいな。,엘리 보고 싶다.,Extraño tanto a Ellie.,Так скучаю по Элли.
NORMAL_END_6,I didn’t mean to lose contact.,我不是故意失聯的啊。,我不是故意失联的啊,わざと連絡絶ったわけじゃないよ。,일부러 연락 끊은 거 아니야.,No dejé de contactarla a propósito.,Я не специально пропала.
NORMAL_END_7,I hope she doesn’t blame me.,希望她不會怪我吧。,希望她不会怪我吧,怒ってないといいな。,나한테 화 안 냈으면 좋겠네.,Espero que no esté enojada conmigo.,"Надеюсь, она не злится на меня."
NORMAL_END_8,"Next semester, I’ll definitely graduate.",我下學期一定會順利畢業的。,我下学期一定会顺利毕业的,来学期は絶対スムーズに卒業するよ。,다음 학기엔 꼭 졸업할게.,El próximo semestre me gradúo sin falta.,В следующем семестре точно выпущусь.
NORMAL_END_9,Ellie! Wait for me!,艾莉！要等我哦！,艾莉！要等我哦！,エリー！待っててね！,엘리! 기다려줘!,¡Ellie! ¡Espérame!,Элли! Жди меня!
STEAL_0,"Money, life, or the thesis.",要錢要命要論文。,要钱要命要论文,お金か命か論文か。,돈이냐 목숨이냐 논문이냐.,"Dinero, vida o tesis.","Деньги, жизнь или диссертация."
STEAL_1,Money.,要錢。,要钱,お金。,돈.,Dinero.,Деньги.
STEAL_2,Life.,要命。,要命,命。,목숨.,Vida.,Жизнь.
STEAL_3,Thesis.,要論文。,要论文,論文。,논문.,Tesis.,Диссертация.
STEAL_4,I want it all.,我全都要。,我全都要,全部欲しい。,다 가질 거야.,Lo quiero todo.,Хочу всё.
STEAL_5,With fists.,用拳頭。,用拳头,拳で。,주먹으로.,Con puños.,Кулаками.
STEAL_6,With a knife.,用刀。,用刀,ナイフで。,칼로.,Con cuchillo.,Ножом.
STEAL_7,With a grenade.,用手榴彈。,用手榴弹,手榴弾で。,수류탄으로.,Con granada.,Гранатой.
STEAL_8,With an invisibility cloak.,用隱形斗篷。,用隐身斗篷,透明マントで。,투명 망토로.,Con capa de invisibilidad.,Плащом-невидимкой.
STEAL_9,Where’d he go? He got away!,人呢？這都被他逃走了。,人呢？这都被他逃走,人どこ？こいつ逃げちゃったよ。,사람 어디 갔어? 저놈 도망쳤네.,¿Dónde está? Se escapó.,Где он? Этот парень сбежал.
STEAL_10,Ah!,啊！,啊！,あ！,아!,¡Ah!,Ах!
STEAL_11,Hmph! Lucky you.,哼！算你好運。,哼！算你好运,ふん！運がいいね。,흥! 운 좋네.,¡Hum! Qué suerte tienes.,Хм! Повезло тебе.
STEAL_12,Ha! What a greedy guy! Guess I’ll beat you up and take your thesis then!,哈！真是個貪財的傢伙！那我就打你一頓再拿走你的論文咯！,哈！真是个贪财的家伙！那我就打你一顿再拿走你的论文咯！,は！金にがめつい奴だ！じゃあ殴って論文奪うよ！,하! 돈 욕심 많은 놈이네! 그럼 때리고 논문 뺏어야지!,¡Ja! ¡Qué codicioso! ¡Te daré una paliza y me llevaré tu tesis!,Ха! Какой жадный! Тогда я тебя побью и заберу твою диссертацию!
STEAL_13,Ha! Fine! Hand over your money and thesis!,哈！行！那就交出錢和論文吧！,哈！行！那就交出钱和论文吧！,は！よし！金と論文出せ！,하! 좋아! 돈과 논문 내놔!,¡Ja! ¡Bien! ¡Dame el dinero y la tesis!,Ха! Отлично! Давай деньги и диссертацию!
STEAL_14,"Ha! Wanting the thesis over your life? This school’s full of lunatics! Fine, have it your way!",哈！竟然要論文也不要命！這學校的人真的瘋了！不過既然如此，我就成全你吧！,哈！竟然要论文也不要命！这学校的人真的疯了！不过既然如此，我就成全你吧！,は！論文欲しがって命いらないなんて！この学校の奴らほんと狂ってる！でもまあ、そういうことなら叶えてやるよ！,하! 논문 원하고 목숨은 안 원해? 이 학교 사람들 진짜 미쳤네! 그래도 원한다면 그렇게 해줄게!,"¡Ja! ¡Querer la tesis y no la vida! ¡La gente de esta escuela está loca! Pero si así lo quieres, te complaceré.","Ха! Хочет диссертацию, а не жизнь! Люди в этой школе реально сумасшедшие! Но раз так, я тебе помогу!"
BULLY_0,"Hurry up, don’t waste time. Give me the money or your thesis—pick one.",快點，別浪費時間。把錢交出來，或者把你那篇論文給我，你自己選一個吧。,快点，别浪费时间。把钱交出来，或者把你那篇论文给我，你自己选一个吧,早く、時間無駄にしないで。お金出すか論文くれ、どっちか選んで。,"빨리, 시간 낭비하지 마. 돈 내놓든지 논문 주든지, 하나 골라.","Rápido, no pierdas tiempo. Dame el dinero o tu tesis, elige uno.","Быстро, не трать время. Отдай деньги или диссертацию, выбирай."
BULLY_1,But… this…,可是……這。,可是……这,でも…これ。,하지만… 이거.,Pero… esto.,Но… это.
BULLY_2,Oh? So you want me to make a move? You should know I don’t like repeating myself.,哦？所以你是想讓我動手嗎？你應該知道，我不喜歡重複說第二次。,哦？所以你是想让我动手吗？你应该知道，我不喜欢重复说第二次。,お？じゃあ手出すの私に任せるってこと？二度言わないのが好きじゃないの知ってるよね。,오? 그럼 내가 손대길 바라는 거야? 두 번 말하는 거 싫어하는 거 알지.,¿Oh? ¿Entonces quieres que lo haga yo? Sabes que no me gusta repetir dos veces.,"О? Так ты хочешь, чтобы я сам начал? Ты знаешь, я не люблю повторять дважды."
BULLY_3,Help him.,幫助他。,帮助他,助ける。,도와주기.,Ayudarlo.,Помочь ему.
BULLY_4,Pretend I didn’t see.,假裝看不見。,假装看不见,見なかったことにする。,못 본 척하기.,Hacer como que no veo.,"Сделать вид, что не заметил."
BULLY_5,Bullying someone like that? I’ll make sure he gets what’s coming!,竟然這樣欺負人，我一定會幫他出一口氣的。,竟然这样欺负人，我一定会帮他出一口气的,こんなイジメ見てたら絶対助けてやるよ。,이렇게 괴롭히는 거 보면 꼭 도와줘야겠어.,"No soporto ver este bullying, voy a ayudarlo a desquitarse.",Так издеваться над человеком — я точно ему помогу отомстить.
BULLY_6,This school’s too dangerous. Messing with those guys will only get me in trouble. Survival comes first.,這所學校太危險了，惹到那些人只會遭到麻煩，還是保命緊要。,这所学校太危险了，惹到那些人只会遭到麻烦，还是保命要紧,この学校危なすぎる、あいつらに絡んだら面倒なことになるだけ、命が大事だよ。,"이 학교 너무 위험해, 저놈들 건드리면 문제만 커져, 목숨이 우선이야.","Esta escuela es muy peligrosa, meterse con esa gente solo trae problemas, mejor salvar mi vida.","Эта школа слишком опасна, связаться с этими людьми — значит нажить проблем, лучше сохранить жизнь."
BULLY_7,I just want to fight you.,我就是想跟你動手。,我就是想跟你动手,お前とやり合いたいだけだ。,너랑 싸우고 싶을 뿐이야.,Solo quiero pelear contigo.,Я просто хочу с тобой подраться.
BULLY_8,Who are you?,誰啊你？,谁啊你？,誰だお前？,너 누구야?,¿Quién eres tú?,Кто ты такой?
BULLY_9,Just a passerby.,只是一個路人罷了。,只是一个路人罢了,ただの通りすがりだよ。,그냥 지나가는 사람이야.,Solo un transeúnte.,Просто прохожий.
BULLY_10,With fists.,用拳頭。,用拳头,拳で。,주먹으로.,Con puños.,Кулаками.
BULLY_11,With a knife.,用刀。,用刀,ナイフで。,칼로.,Con cuchillo.,Ножом.
BULLY_12,With a grenade.,用手榴彈。,用手榴弹,手榴弾で。,수류탄으로.,Con granada.,Гранатой.
BULLY_13,Ah!,啊！,啊！,あ！,아!,¡Ah!,Ах!
BULLY_14,Hmph! Lucky you.,哼！算你好運。,哼！算你好运,ふん！運がいいね。,흥! 운 좋네.,¡Hum! Qué suerte tienes.,Хм! Повезло тебе.
BULLY_15,"Thank you! I don’t have much to repay you with, but I’ll remember this kindness!",謝謝你！可惜我身上並沒有什麼東西可以報答你！但這份恩情我會記著的！,谢谢你！可惜我身上并没有什么东西可以报答你！但这份恩情我会记着的！,ありがとう！残念ながらお礼できるもの持ってないけど、この恩は忘れないよ！,고마워! 아쉽게도 보답할 건 없지만 이 은혜는 기억할게!,"¡Gracias! Lamentablemente no tengo nada para agradecerte, ¡pero recordaré este favor!","Спасибо! К сожалению, у меня нет ничего, чтобы отблагодарить тебя! Но я запомню этот долг!"
MERCHANT_0,Wow! Your %s looks pretty cool. Can I trade my %s for it?,哇！我看你的%s挺不錯的，能和你的%s交換嗎？,哇！我看你的%s挺不错的，能和你的%s交换吗？,わ！君の%sいいね、私の%sと交換できる？,"와! 너의 %s 꽤 괜찮네, 나의 %s랑 바꿀 수 있어?","¡Wow! Tu %s está genial, ¿puedo cambiarlo por mi %s?","Вау! Твой %s классный, можно поменяться на мой %s?"
MERCHANT_1,Sure.,可以。,可以,いいよ。,좋아.,Sí.,Да.
MERCHANT_2,No way.,不可以。,不可以,ダメだよ。,안 돼.,No.,Нет.
MERCHANT_3,Pleasure doing business!,合作愉快！,合作愉快！,協力楽しかったね！,협력 즐거웠어!,¡Fue un placer colaborar!,Приятно сотрудничать!
MERCHANT_4,No problem! Catch you later!,沒問題！下次再聊哦！,没问题！下次再聊哦！,問題ないよ！また次話そうね！,문제없어! 다음에 또 얘기해!,¡Sin problema! ¡Hablamos luego!,Без проблем! Поговорим в следующий раз!